author,datasets_cited,num_datasets
"Filiz Tezcan, Sanne ten Oever, Fan Bai, Noémie te Rietmolen, Andrea E Martin","on007753,on007763,on007870",3
"Alena Ovakimian, Gurgen Soghoyan, Olga Martynova, Olga Sysoeva","on007753,on007763",2
"A. S. Ovakimian, Gurgen Soghoyan, Olga Martynova, O. V. Sysoeva","on007753,on007763",2
"Alejandro López Valdés, Cillian French, Jaimy Hannah, Giovanni M. Di Liberto","on007753,on007763",2
"Martin A. Skoglund, Klara Almgren, Annie Mentzer, Bo Bernhardsson, Dorothea Wendt, Emina Alickovic","on007753,on007763",2
"Lukas Snoek, Maite M. van der Miesen, Tinka Beemsterboer, Andries van der Leij, Annemarie Eigenhuis, H. Steven Scholte","nm000179,on007615,on007763",3
"Martin N. Hebart, Oliver Contier, Lina Teichmann, Adam H Rockter, Charles Y. Zheng, Alexis Kidder, Anna Corriveau, Maryam Vaziri-Pashkam, Chris Ian Baker","nm000232,on007615,on007753,on007763",4
"Samuel A. Nastase, Yunfei Liu, Hanna Hillman, Asieh Zadbood, Liat Hasenfratz, Neggin Keshavarzian, Janice Chen, Christopher John Honey, Yaara Yeshurun, Mor Regev, Mai Nguyen, Claire H. C. Chang, Christopher A. Baldassano, Olga Lositsky, Erez Simony, Michael A. Chow, Yuan Chang Leong, Paula Pacheco Brooks, Emily T. Micciche, Gina Choe, Ariel Goldstein, Tamara Vanderwal, Yaroslav O. Halchenko, Kenneth A. Norman, Uri Hasson","nm000103,on005505,on005506,on005507,on005508,on005511,on005515,on007615,on007753,on007763",10
"Julien Cohen‐Adad, Eva Alonso‐Ortiz, Mihael Abramovic, Carina Arneitz, Nicole T. Atcheson, Laura R. Barlow, Robert L Barry, Markus Barth, Marco Battiston, Christian Büchel, Matthew D. Budde, Virginie Callot, Anna J. E. Combes, Benjamin De Leener, Maxime Descoteaux, Paulo Loureiro de Sousa, Marek Dostál, Julien Doyon, Adam Vladimir Dvorak, Falk Eippert, Karla R. Epperson, Kevin S. Epperson, Patrick Freund, Jürgen Finsterbusch, Alexandru Foias, Michela Fratini, Issei Fukunaga, Claudia A. M. Gandini Wheeler‐Kingshott, Giancarlo Germani, Guillaume Gilbert, Federico Giove, Charley Gros, Francesco Grussu, Akifumi Hagiwara, Pierre‐Gilles Henry, Tomáš Horák, Masaaki Hori, James M. Joers, Kouhei Kamiya, Haleh Karbasforoushan, Miloš Keřkovský, Ali Khatibi, Joo-Won Kim, Nawal Kinany, Hagen H. Kitzler, Shannon Kolind, Yazhuo Kong, Petr Kudlička, Paul Kuntke, Nyoman D. Kurniawan",on007763,1
"Ádám Nárai, Petra Hermann, Tibor Auer, Péter Kemenczky, János Szalma, István Homolya, Eszter Somogyi, Pál Vakli, Béla Weiss, Zoltán Vidnyánszky",on007763,1
"Fabiane Schuch, Lennart Walger, Matthias Schmitz, Bastian David, Tobias Bauer, Antonia Harms, Laura Fischbach, Freya Schulte, Martin Schidlowski, Johannes T. Reiter, Felix Bitzer, Randi D. von Wrede, Atilla Rácz, Tobias R. Baumgartner, Valeri Borger, Matthias B. Schneider, A Flender, Albert Johann Becker, Hartmut Vatter, Bernd Weber, Louisa Specht‐Riemenschneider, Alexander Radbruch, Rainer Surges, Theodor Rüber",on007763,1
"Damian Eke, Ida E. J. Aasebø, Simisola Akintoye, William Knight, Alexandros Karakasidis, Ezequiel Mikulan, Paschal A. Ochang, George Ogoh, Robert Oostenveld, Andrea Pigorini, Bernd Carsten Stahl, Tonya J.H. White, Lyuba Zehl",on007763,1
"Diego Ángeles-Valdéz, Jalil Rasgado‐Toledo, Victor Issa‐Garcia, Thania Balducci, Viviana Villicaña, Alely Valencia, Jorge Julio Gonzalez-Olvera, Ernesto Reyes-Zamorano, Eduardo A. Garza‐Villarreal",on007763,1
"Christian Rubbert, Luisa Wolf, Bernd Turowski, Dennis Martin Hedderich, Christian Gaser, Robert Dahnke, Julian Caspers, for the Alzheimer’s Disease Neuroimaging Initiative",on007763,1
"Laura Gwilliams, Graham Flick, Alec Marantz, Liina Pylkkänen, David Poeppel, Jean-Rémi King","nm000110,nm000111,nm000113,nm000115,nm000120,nm000121,nm000122,nm000123,nm000124,nm000125,nm000128,nm000130,nm000131,nm000136,nm000139,nm000140,nm000141,nm000142,nm000143,nm000145,nm000146,nm000148,nm000151,nm000152,nm000157,nm000166,nm000167,nm000168,nm000169,nm000170,nm000172,nm000174,nm000179,nm000180,nm000181,nm000184,nm000186,nm000187,nm000188,nm000191,nm000194,nm000197,nm000198,nm000199,nm000200,nm000201,nm000202,nm000204,nm000205,nm000207,nm000208,nm000209,nm000210,nm000212,nm000213,nm000215,nm000218,nm000219,nm000221,nm000222,nm000223,nm000224,nm000227,nm000229,nm000231,nm000234,nm000235,nm000236,nm000237,nm000239,nm000240,nm000242,nm000243,nm000244,nm000245,nm000246,nm000247,nm000252,nm000257,nm000258,nm000259,nm000261,nm000262,nm000263,nm000265,nm000268,nm000269,nm000273,nm000301,nm000310,nm000313,nm000321,nm000329,nm000339,nm000340,nm000341,nm000343,nm000348,nm000351,on003029,on003352,on003392,on003498,on003703,on003876,on003922,on004012,on004324,on004346,on004395,on004473,on004541,on004951,on004993,on004998,on005241,on005261,on005307,on005403,on005406,on005494,on005594,on005620,on005624,on005811,on005857,on006035,on006126,on006386,on006629,on006720,on006839,on006840,on007058,on007169,on007172,on007262,on007338,on007358,on007454,on007615,on007763,on007895,on008465,on008701",145
"Thania Balducci, Jalil Rasgado‐Toledo, Alely Valencia, Marie‐José van Tol, André Alemán, Eduardo A. Garza‐Villarreal",on007763,1
